Time resolution is 1 ps
time=0 | clk=0 rst=0 | light_M1=xxx light_MT=xxx light_M2=xxx light_S=xxx
time=5000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=10000 | clk=0 rst=1 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=15000 | clk=1 rst=1 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=20000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=25000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=30000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=35000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=40000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=45000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=50000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=55000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=60000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=65000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=70000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=75000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=80000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=85000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=90000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=95000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=100000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=105000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=110000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=115000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=120000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=125000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=130000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=135000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=140000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=145000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=150000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=155000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=160000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=165000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=170000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=175000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=180000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=185000 | clk=1 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=190000 | clk=0 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=195000 | clk=1 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=200000 | clk=0 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=205000 | clk=1 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=210000 | clk=0 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=215000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=220000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=225000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=230000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=235000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=240000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=245000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=250000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=255000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=010
time=260000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=010
time=265000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=010
time=270000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=010
time=275000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=010
time=280000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=010
time=285000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=010
time=290000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=010
time=295000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=300000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=305000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=310000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=315000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=320000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=325000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=330000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=335000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=340000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=345000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=350000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=355000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=360000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=365000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=370000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=375000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=380000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=385000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=390000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=395000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=400000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=405000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=410000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=415000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=420000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=425000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=430000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=435000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=440000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=445000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=450000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=455000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=460000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=465000 | clk=1 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=470000 | clk=0 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=475000 | clk=1 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=480000 | clk=0 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=485000 | clk=1 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=490000 | clk=0 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=495000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=500000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
